FB Biologie und Biomedizin (Lehrbuchsammlung);Geschlossen;0;2016-12-18 18:45:25.435502
FB Chemie und Pharmazie;Geschlossen;0;2016-12-18 18:45:25.435510
FB Englischer Garten;Geschlossen;0;2016-12-18 18:45:25.435516
FB Geowissenschaften;13;87;2016-12-18 18:45:25.435523
FB Germanistik und Komparatistik;Geschlossen;0;2016-12-18 18:45:25.435529
FB Historicum;Geschlossen;0;2016-12-18 18:45:25.435535
FB Kunstwissenschaften;Geschlossen;0;2016-12-18 18:45:25.435541
FB Medizinische Lesehalle;Geschlossen;0;2016-12-18 18:45:25.435547
FB Psychologie, Pädagogik und Soziologie;Geschlossen;0;2016-12-18 18:45:25.435556
FB Theologie und Philosophie;Geschlossen;0;2016-12-18 18:45:25.435563
FB Wirtschaftswissenschaften und Statistik;Geschlossen;0;2016-12-18 18:45:25.435569
